"PassengerId","Survived","Pclass","Name","Sex","Age","SibSp","Parch","Ticket","Fare","Cabin","Embarked"
"148","0","3","Ford, Miss. Robina Maggie ""Ruby""","female","9.0","2","2","W./C. 6608","34.375","0","S"
"463","0","1","Gee, Mr. Arthur H","male","47.0","0","0","111320","38.5","1","S"
"243","0","2","Coleridge, Mr. Reginald Charles","male","29.0","0","0","W./C. 14263","10.5","0","S"
"392","1","3","Jansson, Mr. Carl Olof","male","21.0","0","0","350034","7.7958","0","S"
"540","1","1","Frolicher, Miss. Hedwig Margaritha","female","22.0","0","2","13568","49.5","1","C"
"623","1","3","Nakid, Mr. Sahid","male","20.0","1","1","2653","15.7417","0","C"
"737","0","3","Ford, Mrs. Edward (Margaret Ann Watson)","female","48.0","1","3","W./C. 6608","34.375","0","S"
"858","1","1","Daly, Mr. Peter Denis ","male","51.0","0","0","113055","26.55","1","S"
"31","0","1","Uruchurtu, Don. Manuel E","male","40.0","0","0","PC 17601","27.7208","0","C"
"516","0","1","Walker, Mr. William Anderson","male","47.0","0","0","36967","34.0208","1","S"
"85","1","2","Ilett, Miss. Bertha","female","17.0","0","0","SO/C 14885","10.5","0","S"
"137","1","1","Newsom, Miss. Helen Monypeny","female","19.0","0","2","11752","26.2833","1","S"
"451","0","2","West, Mr. Edwy Arthur","male","36.0","1","2","C.A. 34651","27.75","0","S"
"580","1","3","Jussila, Mr. Eiriik","male","32.0","0","0","STON/O 2. 3101286","7.925","0","S"
"808","0","3","Pettersson, Miss. Ellen Natalia","female","18.0","0","0","347087","7.775","0","S"
"883","0","3","Dahlberg, Miss. Gerda Ulrika","female","22.0","0","0","7552","10.5167","0","S"
"53","1","1","Harper, Mrs. Henry Sleeper (Myna Haxtun)","female","49.0","1","0","PC 17572","76.7292","1","C"
"255","0","3","Rosblom, Mrs. Viktor (Helena Wilhelmina)","female","41.0","0","2","370129","20.2125","0","S"
"481","0","3","Goodwin, Master. Harold Victor","male","9.0","5","2","CA 2144","46.9","0","S"
"588","1","1","Frolicher-Stehli, Mr. Maxmillian","male","60.0","1","1","13567","79.2","1","C"
"799","0","3","Ibrahim Shawah, Mr. Yousseff","male","30.0","0","0","2685","7.2292","0","C"
"804","1","3","Thomas, Master. Assad Alexander","male","0.42","0","1","2625","8.5167","0","C"
"133","0","3","Robins, Mrs. Alexander A (Grace Charity Laury)","female","47.0","1","0","A/5. 3337","14.5","0","S"
"472","0","3","Cacic, Mr. Luka","male","38.0","0","0","315089","8.6625","0","S"
"853","0","3","Boulos, Miss. Nourelain","female","9.0","1","1","2678","15.2458","0","C"
"322","0","3","Danoff, Mr. Yoto","male","27.0","0","0","349219","7.8958","0","S"
"513","1","1","McGough, Mr. James Robert","male","36.0","0","0","PC 17473","26.2875","1","S"
"321","0","3","Dennis, Mr. Samuel","male","22.0","0","0","A/5 21172","7.25","0","S"
